id,lat,lon,title,comment,art,bytte,dato,aar,kommune,funnsted,datatype,vurdering
K415966,65.796811,13.550831,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2008-11-29,2008,Grane (N),Herringbotn,Rovviltskade,Dokumentert
K415967,65.108465,13.42765,Rein skadet av gaupe,Ett dyr er  skadd og avlivet. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2008-11-16,2008,Grane (N),Smalfjellet,Rovviltskade,Dokumentert
K415983,64.335846,13.138784,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2008-12-11,2008,Snåase - Snåsa (N),Bukvassfjellet,Rovviltskade,Dokumentert
K416050,68.753908,25.108075,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Rein,2009-01-26,2009,Guovdageaidnu - Kautokeino (N),Skiezzanavzi,Rovviltskade,Dokumentert
K416079,64.010885,12.319922,Rein skadet av jerv,Ett dyr er  skadd og avlivet. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2008-12-28,2008,Snåase - Snåsa (N),Åsvatnet,Rovviltskade,Dokumentert
K416182,68.517016,16.417884,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2009-01-15,2009,Dielddanuorri - Tjeldsund (N),Sandnes,Rovviltskade,Dokumentert
K416183,68.429922,16.37767,Rein skadet av gaupe,Ett dyr er  skadd og ikke avlivet. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2009-01-07,2009,Dielddanuorri - Tjeldsund (N),Kilstadfjellet,Rovviltskade,Dokumentert
K412072,65.646928,13.420625,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2008-07-12,2008,Grane (N),Johansetra,Rovviltskade,Dokumentert
K412086,61.315879,10.763841,Sau skadet av bjørn,Ett dyr er  skadd og avlivet. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2008-07-22,2008,Øyer (N),Kaldholsetra,Rovviltskade,Dokumentert
K412112,64.096877,11.212726,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Sau,2008-07-26,2008,Steinkjer (N),Stjerna,Rovviltskade,Dokumentert
