id,lat,lon,title,comment,art,bytte,dato,aar,kommune,funnsted,datatype,vurdering
K544298,64.327428,13.691669,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Rein,2026-01-27,2026,Lierne (N),Tortjønna ,Rovviltskade,Antatt sikker
K544502,64.017208,11.559859,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i innmark.,Gaupe,Rein,2026-02-03,2026,Steinkjer (N),Vive,Rovviltskade,Antatt sikker
K544759,66.289589,14.871477,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2026-02-24,2026,Rana (N),Lappsetan,Rovviltskade,Dokumentert
K544789,69.461273,20.358408,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Rein,2026-02-26,2026,Gáivuotna - Kåfjord - Kaivuono (N),Revdalen,Rovviltskade,Antatt sikker
K544832,64.367051,12.595205,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2026-03-02,2026,Snåase - Snåsa (N),Lurudal,Rovviltskade,Dokumentert
K544841,69.293138,25.068467,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Rein,2026-03-01,2026,Kárášjohka - Karasjok (N),Buortnavarri,Rovviltskade,Antatt sikker
K544855,69.28242,25.133866,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2026-03-03,2026,Kárášjohka - Karasjok (N),,Rovviltskade,Dokumentert
K544875,70.004212,28.682762,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Jerv,Rein,2026-03-01,2026,Unjárga - Nesseby (N),Boillosroggi,Rovviltskade,Antatt sikker
K544898,63.633723,12.022886,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2026-03-06,2026,Verdal (N),Skaffelia,Rovviltskade,Dokumentert
K544907,66.769008,15.599497,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2026-03-07,2026,Saltdal (N),junkerdalen ,Rovviltskade,Dokumentert
K545032,69.812314,28.680623,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2026-03-16,2026,Sør-Varanger (N),Aitoaivi ,Rovviltskade,Dokumentert
K545100,69.3832,24.081013,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2026-03-16,2026,Guovdageaidnu - Kautokeino (N),Vuottasluoppal sør,Rovviltskade,Dokumentert
K545122,69.272807,24.75108,Rein skadet av kongeørn,Ett dyr er  skadd og avlivet. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Kongeørn,Rein,2026-03-21,2026,Kárášjohka - Karasjok (N),Nuorroskaidi,Rovviltskade,Antatt sikker
K544142,68.861331,18.497105,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2026-01-15,2026,Bardu (N),Krogstadskardet,Rovviltskade,Dokumentert
K544154,68.659356,18.503417,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2026-01-17,2026,Bardu (N),"tverrelvdalen,sørdalen. Bardu ",Rovviltskade,Dokumentert
K544168,69.41794,24.676482,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Kongeørn,Rein,2025-12-11,2025,Kárášjohka - Karasjok (N),Suhpenjunesvarri ,Rovviltskade,Antatt sikker
K544183,65.735298,13.85671,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2026-01-19,2026,Aarborte - Hattfjelldal (N),,Rovviltskade,Dokumentert
K544238,63.804396,11.749867,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2026-01-23,2026,Verdal (N),Skavdalsberget,Rovviltskade,Dokumentert
K544250,69.036884,22.71074,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Rein,2026-01-23,2026,Guovdageaidnu - Kautokeino (N),Cunocearru,Rovviltskade,Dokumentert
K544251,69.03655,22.628325,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Kongeørn,Rein,2026-01-25,2026,Guovdageaidnu - Kautokeino (N),Eappergielas,Rovviltskade,Antatt sikker
K544262,68.447758,16.324006,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2026-01-25,2026,Dielddanuorri - Tjeldsund (N),Tjeldøya,Rovviltskade,Dokumentert
K544630,69.036324,18.812732,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Rein,2026-02-15,2026,Målselv (N),"maukdal,Målselv ",Rovviltskade,Antatt sikker
K544644,69.071826,22.364287,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Jerv,Rein,2026-02-10,2026,Guovdageaidnu - Kautokeino (N),Ramsovarri sør,Rovviltskade,Antatt sikker
K544686,68.943215,22.674905,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Jerv,Rein,2026-02-16,2026,Guovdageaidnu - Kautokeino (N),Skierrebuolza,Rovviltskade,Antatt sikker
K544727,69.051245,22.043878,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2026-02-20,2026,Guovdageaidnu - Kautokeino (N),Fallecearru sør,Rovviltskade,Dokumentert
K544747,69.928458,28.184216,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Rein,2026-02-22,2026,Deatnu - Tana (N),Leaibejohjeaggi,Rovviltskade,Dokumentert
K544757,64.431942,12.662716,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2026-02-23,2026,Grong (N),Nynesfjella,Rovviltskade,Dokumentert
K544758,64.436538,12.661015,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2026-02-23,2026,Grong (N),Nynesfjella,Rovviltskade,Dokumentert
K544774,66.027757,13.554816,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2026-02-25,2026,Vefsn (N),lomtjønna,Rovviltskade,Dokumentert
